temperature,humidity,pressure,vibration,energy_consumption,target_failure_risk,pca_1,pca_2,cluster_kmeans,cluster_dbscan,cluster_agglomerative
70.43,37.67,100.38,1.121,120.11,0.2309,-0.8320329842191205,-0.76085835220186,1,0,0
56.27,36.39,101.18,0.826,116.51,0.0,-2.1752602209639176,-0.15736731324276806,1,0,0
66.62,31.91,101.64,0.801,157.65,0.296,-0.5939162410364308,-0.556518793026761,1,0,1
64.82,41.86,101.68,1.433,78.8,0.0673,-1.792899127656563,-0.2519260271529105,0,0,0
72.19,43.78,101.83,0.797,132.2,0.2792,-0.36222059119619315,0.07217306338792022,1,0,1
61.08,35.08,101.72,1.343,117.12,0.0,-1.9360975767105733,-0.23936591798208148,0,0,0
76.77,47.26,101.4,2.286,183.29,0.1964,0.13292037026638662,0.7533739733336835,0,0,0
90.05,48.77,101.75,1.007,208.89,0.5506,1.9969909035822289,0.5278088924055213,2,0,3
90.05,48.77,101.75,1.007,149.9,0.3194,0.8973144339437341,0.20548827098817787,2,0,1
89.77,36.5,101.14,2.067,146.05,0.5101,1.0889851803453245,-1.1586766298241282,2,0,3
85.21,37.36,102.18,1.017,159.16,0.5364,1.095315302314578,-0.6586840900228182,2,0,3
59.52,40.91,100.99,0.832,112.01,0.0,-1.974865819008282,0.04507173707067528,1,0,0
59.78,42.6,102.08,1.096,65.04,0.1685,-1.8875570655503102,-0.2524826914414894,1,0,0
75.6,48.91,100.83,0.287,145.65,0.1832,-0.24515039615116332,0.43465128643250583,1,0,1
79.6,60.19,101.94,1.283,162.63,0.2698,0.53729736659763,1.5503328862802754,2,0,1
78.73,44.98,102.58,1.382,145.78,0.357,0.324291952934898,0.2379792162434851,2,0,0
62.12,27.82,101.89,0.252,115.14,0.0,-2.000772346638915,-0.8097402404752483,1,0,0
87.04,52.64,101.92,1.463,177.76,0.5237,1.5654262379581199,0.6507472856068611,2,0,3
89.25,40.31,100.4,1.7,193.61,0.5751,1.690489986309296,-0.6073589023021683,2,0,3
59.89,34.0,101.74,0.828,151.33,0.0,-1.7092691714014208,0.04988781848866419,1,0,0
79.3,44.9,101.41,0.65,119.71,0.2197,-0.2445364153388315,-0.13528482911195241,1,0,1
62.05,25.03,102.25,1.503,96.5,0.0,-2.2239652510641577,-1.1439108659508967,0,0,0
60.59,56.96,99.94,0.404,86.46,0.1047,-1.626733229897933,0.6856528030774287,1,0,0
73.21,32.21,101.04,0.306,145.19,0.0948,-0.8755315425618923,-0.691179443009439,1,0,1
65.89,60.85,101.4,1.078,123.16,0.2712,-0.5133966105120306,1.3744063895020373,1,0,0
67.62,38.33,100.4,0.235,116.65,0.3809,-0.601422703601552,-0.8478832278497105,1,0,1
74.98,64.56,101.3,0.891,502.41,0.4427,3.7580557640775365,5.0498129572528505,3,0,2
74.98,64.56,101.3,0.891,166.18,0.2692,0.38990874722926744,1.8895338834678705,1,0,1
65.86,51.71,102.56,1.261,141.16,0.3123,-0.3792066305409837,1.0399322511356934,0,0,0
90.51,41.15,101.38,1.056,172.92,0.4931,1.4205640389794347,-0.4588379320800061,2,0,3
55.02,46.47,100.85,0.84,117.15,0.0,-2.0724210216593297,0.5986323250089096,1,0,0
81.55,47.9,101.71,1.733,147.31,0.545,0.9789909746818694,0.013589732599153439,2,0,3
68.26,34.5,101.05,0.575,137.28,0.2905,-0.6696676382674293,-0.7119712842708303,1,0,1
48.99,40.24,101.5,0.525,98.23,0.0,-2.6315645234787794,0.18844934425156795,1,0,0
67.8,56.1,101.52,1.146,143.02,0.0315,-0.9275492651940985,1.4609841715320386,1,0,0
70.92,46.44,100.9,1.437,158.05,0.1036,-0.6395433468399474,0.5608883553084055,0,0,1
70.92,46.44,100.9,1.437,74.71,0.0,-1.6279482766454247,-0.15237223823701254,0,0,0
72.99,54.55,102.02,1.596,143.88,0.3245,0.07178677173305828,1.007428916193957,0,0,0
80.41,41.59,101.37,1.744,170.1,0.561,1.0415983371857502,-0.3269601319992713,2,0,3
91.04,39.25,100.23,1.07,214.8,0.6532,2.152747837212478,-0.6402526413770927,2,0,1
91.48,44.1,101.94,0.21,147.67,0.496,1.33813969290195,-0.37261251034689497,2,0,3
91.48,44.1,101.94,0.21,167.95,0.5533,1.65997840631991,-0.23615234393911105,2,0,3
85.15,36.03,101.31,0.282,235.97,0.457,1.5240727702182932,-0.08996405282969162,2,0,1
91.74,40.16,101.9,1.67,173.85,0.7799,2.2073655900800304,-0.7743921435900518,2,0,3
91.63,50.74,101.05,0.888,168.12,0.5752,1.8012869995253138,0.06093152108068697,2,0,3
62.2,32.68,99.7,1.11,121.74,0.0391,-1.8341556492462694,-0.8953833800988864,1,0,0
69.52,35.16,102.47,0.84,137.15,0.3166,-0.49155798497727904,-0.4061138847755541,1,0,1
79.9,54.75,100.77,1.278,88.34,0.4978,0.3572716141368906,-0.1499944719963961,2,0,1
83.15,42.37,101.98,2.237,148.16,0.4393,0.7068374826796598,-0.2697582937464265,2,0,0
90.62,38.31,101.71,1.797,178.13,0.4154,1.2239796206342237,-0.47571185956726275,2,0,3
84.84,61.5,99.63,1.224,112.68,0.6346,1.2545463535433623,0.11435739617238129,2,0,1
74.91,41.2,101.73,1.411,141.68,0.3758,0.04921759509388637,-0.2314364280057244,0,0,0
74.98,66.08,101.3,0.518,441.24,0.3969,3.14109179192725,4.613889318237166,3,0,2
77.34,39.34,100.86,1.391,141.1,0.3607,0.07521966397171782,-0.6091596415495005,2,0,3
63.66,46.74,100.78,1.659,132.91,0.1868,-1.0252551624964887,0.36051682856362394,0,0,0
64.16,36.64,101.92,0.834,136.73,0.1481,-1.1901181827051182,-0.10806977944629292,1,0,0
58.34,53.73,100.76,0.057,125.15,0.0,-1.697323399826945,1.1683238849233148,1,0,0
81.01,34.08,101.45,1.022,144.44,0.5766,0.7746685057525788,-1.1849449647210752,2,0,3
62.54,49.22,101.05,0.864,111.99,0.0,-1.6760172823881767,0.651506691703359,1,0,0
64.7,40.13,102.76,0.772,146.4,0.0,-1.368617679372365,0.6100127463758487,1,0,0
70.69,45.45,101.04,1.286,138.3,0.2847,-0.37493789543093603,0.11252185501639597,0,0,1
86.47,36.89,100.86,0.861,172.28,0.6456,1.5079802690887476,-1.0073311411488475,2,0,3
70.19,33.83,102.1,0.429,107.26,0.0942,-1.307528019163738,-0.6456761937895459,1,0,0
61.79,44.04,102.36,1.211,134.36,0.2312,-0.9901507772255769,0.5007969515560017,1,0,1
61.91,38.78,101.84,1.901,103.51,0.0738,-1.7671489354517138,-0.1629317852540491,0,0,0
74.15,38.86,100.85,1.42,158.58,0.4866,0.3725126638798323,-0.5538245294237638,2,0,1
97.01,46.54,101.59,1.693,153.61,0.6261,2.013397088648727,-0.47318689053400337,2,0,3
62.53,33.67,101.28,1.197,125.14,0.0,-1.82556253905624,-0.3969197421137783,1,0,0
62.53,33.67,101.28,1.197,158.32,0.5202,-0.21832368105478303,-0.6667571480363077,1,0,1
62.53,33.67,101.28,1.197,192.96,0.5973,0.2787625391445506,-0.4096514326208665,2,0,1
70.24,32.18,101.14,2.322,112.17,0.1501,-1.2066568805990445,-1.0169124820047426,0,0,0
91.81,45.3,101.52,1.3,172.51,0.6377,1.92149699760579,-0.300079587078133,2,0,3
76.65,24.34,102.92,0.799,148.02,0.5377,0.361700867629162,-1.4571255279650364,2,0,1
63.41,50.06,100.84,1.465,112.94,0.2268,-1.0493731998162323,0.3966925163979304,0,0,0
74.41,62.97,102.68,1.38,105.72,0.242,-0.2302730548872159,1.5040486703489142,0,0,0
60.4,33.95,101.28,0.229,103.34,0.1039,-1.8420569641623765,-0.662033137569473,1,0,0
61.96,42.35,100.9,1.63,112.74,0.0,-1.8331196755334347,0.0901429803279386,0,0,0
75.82,48.56,101.22,0.137,131.01,0.1292,-0.49043692174980813,0.40552657316353974,1,0,1
75.82,48.56,101.22,0.137,125.94,0.2541,-0.21808365153695938,0.21042795921009824,1,0,1
64.81,48.12,100.69,2.436,111.8,0.0805,-1.4105443669117874,0.33248518870985133,0,0,0
64.89,54.56,99.59,0.334,125.51,0.3943,-0.38006479187645714,0.3851198940986134,1,0,1
81.07,43.25,101.3,2.097,182.79,0.3342,0.6321302864829421,0.16175381104520398,0,0,3
71.14,58.05,101.64,0.84,153.21,0.1366,-0.3580488903450204,1.5542447426150792,1,0,1
55.18,45.13,101.47,1.626,128.46,0.2262,-1.4099884898876875,0.4724792007634166,0,0,0
76.22,55.72,103.33,1.242,112.45,0.3193,0.015353415477074677,1.0156642403439136,0,0,0
89.53,39.69,100.64,1.913,184.26,0.6665,1.848098576919199,-0.8097998874961712,2,0,3
71.15,35.9,100.86,0.888,121.92,0.2171,-0.8265596464225431,-0.7742527296096706,1,0,1
62.38,50.01,102.31,1.543,99.78,0.1078,-1.4786024226365737,0.7439924971345748,0,0,0
50.98,49.39,101.97,1.444,132.7,0.0,-2.073729604647451,1.3120494865693295,0,0,0
89.59,45.11,100.63,0.636,184.44,0.5969,1.7889122193719673,-0.2942975216377656,2,0,1
72.13,46.45,102.22,1.372,166.12,0.088,-0.5069302924853465,0.9267400579439767,0,0,0
77.54,46.77,100.7,1.41,160.92,0.3751,0.41631864122854445,0.11976600571275771,2,0,1
66.46,48.89,100.89,1.371,165.46,0.128,-0.7014608526971735,0.8915342356377337,0,0,0
54.44,39.84,102.54,1.45,126.81,0.0188,-2.0446736762967346,0.5304386826965618,0,0,0
83.74,42.54,102.19,1.339,116.54,0.53,0.7151663327932138,-0.6373098182816701,2,0,3
66.59,51.1,101.3,0.589,155.37,0.131,-0.7130111461134822,1.0547168072936903,1,0,1
117.288,93.3,101.3,0.916,407.31000000000006,0.0,4.48627410642116,5.999626525343387,3,0,2
83.27,42.94,100.87,1.478,142.08,0.3883,0.5207583273263013,-0.46884185147992363,2,0,1
88.94,42.0,101.84,0.505,163.71,0.5474,1.433280720437172,-0.4086872605404752,2,0,3
85.32,52.57,100.88,0.901,145.01,0.4941,1.0940306469293768,0.16226235052272073,2,0,1
74.98,80.46,101.3,0.627,634.29,0.488,5.296533911022799,7.573690413165063,3,0,2
75.44,35.05,100.2,0.77,167.27,0.3193,0.017806368547881174,-0.7405097286875534,1,0,1
82.61,41.14,100.74,1.06,182.87,0.4316,0.9239085831181951,-0.2655470760273846,2,0,1
74.98,76.54,101.3,1.176,498.42,0.2985,3.5573509247737003,6.121322677205047,3,0,2
72.88,46.85,100.89,0.536,139.74,0.2687,-0.2580597442872462,0.1822478583281051,1,0,1
58.87,40.93,100.8,0.943,82.62,0.0872,-2.0504196810112614,-0.37704436026930915,1,0,0
61.79,37.2,101.18,2.305,117.22,0.0324,-1.81126933692761,-0.24860267193222954,0,0,0
80.84,41.09,101.14,1.639,158.51,0.5296,0.86987423333849,-0.5050111587983175,2,0,3
84.15,43.88,101.26,1.464,149.75,0.6257,1.262170042383266,-0.5246373285034269,2,0,3
82.21,60.39,101.82,1.126,176.79,0.4113,1.1567313029837052,1.464216991487803,2,0,3
73.2,53.19,100.62,2.128,123.24,0.1201,-0.6871264061478682,0.6133086744112254,0,0,0
71.23,51.78,100.72,1.087,154.39,0.2492,-0.19503177506214578,0.7340125672489639,1,0,1
79.86,60.74,102.45,1.314,162.51,0.3947,0.8897818648789604,1.5550348506264575,2,0,1
72.99,64.84,102.45,0.961,152.31,0.4077,0.5538844382483685,1.9075518767555473,1,0,1
62.23,38.05,100.97,0.997,146.94,0.5262,-0.24888280456584594,-0.5021821702453066,1,0,1
59.9,54.94,100.18,0.713,149.57,0.0,-1.4105364717461055,1.3432298157665028,1,0,0
