timestamp,sensor_id,machine_id,location,temperature,humidity,pressure,vibration,energy_consumption,machine_status,target_failure_risk
2024-01-31 04:00:00,sensor_7,machine_2,East Plant,70.43,37.67,100.38,1.121,120.11,fault,0.2309
2024-01-18 13:00:00,sensor_3,machine_1,West Plant,56.27,36.39,101.18,0.826,116.51,running,0.0
2024-02-15 00:00:00,sensor_2,machine_2,South Yard,66.62,31.91,101.64,0.801,157.65,running,0.296
2024-03-04 13:00:00,sensor_10,machine_1,South Yard,64.82,41.86,101.68,1.433,78.8,idle,0.0673
2024-02-16 04:00:00,sensor_1,machine_1,West Plant,72.19,43.78,101.83,0.797,132.2,idle,0.2792
2024-04-03 20:00:00,sensor_12,machine_1,East Plant,61.08,35.08,101.72,1.343,117.12,idle,0.0
2024-04-21 17:00:00,sensor_7,machine_4,South Yard,76.77,47.26,101.4,2.286,183.29,maintenance,0.1964
2024-04-02 05:00:00,sensor_6,machine_4,North Bay,90.05,48.77,101.75,1.007,208.89,fault,0.5506
2024-01-18 23:00:00,sensor_1,machine_2,West Plant,90.05,48.77,101.75,1.007,149.9,maintenance,0.3194
2024-02-14 19:00:00,sensor_3,machine_4,North Bay,89.77,36.5,101.14,2.067,146.05,idle,0.5101
2024-02-02 22:00:00,sensor_6,machine_3,East Plant,85.21,37.36,102.18,1.017,159.16,running,0.5364
2024-03-04 10:00:00,sensor_1,machine_1,West Plant,59.52,40.91,100.99,0.832,112.01,fault,0.0
2024-04-19 21:00:00,sensor_10,machine_1,North Bay,59.78,42.6,102.08,1.096,65.04,idle,0.1685
2024-01-07 19:00:00,sensor_2,machine_2,East Plant,75.6,48.91,100.83,0.287,145.65,maintenance,0.1832
2024-04-01 00:00:00,sensor_9,machine_3,South Yard,79.6,60.19,101.94,1.283,162.63,maintenance,0.2698
2024-04-18 00:00:00,sensor_9,machine_3,South Yard,78.73,44.98,102.58,1.382,145.78,running,0.357
2024-03-17 18:00:00,sensor_4,machine_1,East Plant,62.12,27.82,101.89,0.252,115.14,running,0.0
2024-01-11 16:00:00,sensor_6,machine_4,North Bay,87.04,52.64,101.92,1.463,177.76,running,0.5237
2024-03-24 00:00:00,sensor_2,machine_4,North Bay,89.25,40.31,100.4,1.7,193.61,running,0.5751
2024-04-28 19:00:00,sensor_1,machine_1,West Plant,59.89,34.0,101.74,0.828,151.33,maintenance,0.0
2024-01-19 12:00:00,sensor_8,machine_3,North Bay,79.3,44.9,101.41,0.65,119.71,idle,0.2197
2024-02-19 03:00:00,sensor_12,machine_1,East Plant,62.05,25.03,102.25,1.503,96.5,idle,0.0
2024-01-10 22:00:00,sensor_4,machine_1,South Yard,60.59,56.96,99.94,0.404,86.46,running,0.1047
2024-02-03 16:00:00,sensor_8,machine_3,North Bay,73.21,32.21,101.04,0.306,145.19,fault,0.0948
2024-02-06 20:00:00,sensor_1,machine_1,South Yard,65.89,60.85,101.4,1.078,123.16,running,0.2712
2024-03-03 08:00:00,sensor_12,machine_1,East Plant,67.62,38.33,100.4,0.235,116.65,maintenance,0.3809
2024-03-31 01:00:00,sensor_9,machine_3,West Plant,74.98,64.56,101.3,0.891,502.41,maintenance,0.4427
2024-03-19 06:00:00,sensor_5,machine_2,South Yard,74.98,64.56,101.3,0.891,166.18,maintenance,0.2692
2024-04-06 07:00:00,sensor_2,machine_2,North Bay,65.86,51.71,102.56,1.261,141.16,idle,0.3123
2024-04-05 21:00:00,sensor_8,machine_4,South Yard,90.51,41.15,101.38,1.056,172.92,maintenance,0.4931
2024-02-06 21:00:00,sensor_6,machine_1,East Plant,55.02,46.47,100.85,0.84,117.15,idle,0.0
2024-01-26 08:00:00,sensor_2,machine_3,North Bay,81.55,47.9,101.71,1.733,147.31,maintenance,0.545
2024-03-19 18:00:00,sensor_10,machine_1,North Bay,68.26,34.5,101.05,0.575,137.28,maintenance,0.2905
2024-01-04 02:00:00,sensor_11,machine_1,West Plant,48.99,40.24,101.5,0.525,98.23,running,0.0
2024-03-15 22:00:00,sensor_12,machine_2,West Plant,67.8,56.1,101.52,1.146,143.02,idle,0.0315
2024-02-13 13:00:00,sensor_9,machine_2,North Bay,70.92,46.44,100.9,1.437,158.05,fault,0.1036
2024-02-23 10:00:00,sensor_12,machine_1,West Plant,70.92,46.44,100.9,1.437,74.71,idle,0.0
2024-04-27 06:00:00,sensor_7,machine_2,South Yard,72.99,54.55,102.02,1.596,143.88,fault,0.3245
2024-03-03 22:00:00,sensor_6,machine_3,North Bay,80.41,41.59,101.37,1.744,170.1,idle,0.561
2024-01-02 19:00:00,sensor_12,machine_3,North Bay,91.04,39.25,100.23,1.07,214.8,idle,0.6532
2024-04-11 18:00:00,sensor_7,machine_4,North Bay,91.48,44.1,101.94,0.21,147.67,running,0.496
2024-01-20 13:00:00,sensor_4,machine_4,South Yard,91.48,44.1,101.94,0.21,167.95,fault,0.5533
2024-03-04 11:00:00,sensor_1,machine_3,West Plant,85.15,36.03,101.31,0.282,235.97,fault,0.457
